conflict_name,date_start,date_end,conflict_duration_days,type_of_violence,total_fatalities
Government of Nigeria - Civilians,1/1/1999,12/31/1999,364,3,1
Deebam - Deewell,1/1/2006,12/31/2006,364,2,10
Greenlanders - NDV,1/1/2015,12/31/2015,364,2,1
Fulani - Yoruba,1/1/2014,12/31/2014,364,2,4
Forces of Agala - Forces of Edu,6/1/2005,12/31/2005,213,2,2
Forces of Agala - Forces of Edu,6/1/2005,12/31/2005,213,2,60
Christians (Nigeria) - Muslims (Nigeria),5/1/2016,11/23/2016,206,2,54
Hausa - Yoruba,7/1/2000,12/31/2000,183,2,2
Deebam - Deewell,4/1/2007,9/30/2007,182,2,1
NDPVF - NDV,1/1/2004,5/31/2004,151,2,3
NDPVF - NDV,1/1/2004,5/31/2004,151,2,2
NDPVF - NDV,1/1/2004,5/31/2004,151,2,3
Deebam - Deewell,5/1/2007,8/31/2007,122,2,6
Ikurav (Tiv) - Shitile (Tiv),1/1/2019,4/20/2019,109,2,10
Deebam - Deewell,6/1/2007,8/31/2007,91,2,4
Ijaw - Itsekiri,3/1/1997,5/31/1997,91,2,332
Nigeria: Islamic State,4/1/2017,6/30/2017,90,1,5
Nigeria: Islamic State,4/1/2017,6/30/2017,90,1,4
Nigeria: Government,4/1/2017,6/30/2017,90,1,5
Nigeria: Islamic State,1/1/2021,3/31/2021,89,1,14
Fulani - Wurukum,1/1/1999,3/29/1999,87,2,90
Black Axe - Eyie,9/1/2014,11/14/2014,74,2,4
Christians (Nigeria) - Muslims (Nigeria),3/1/2004,5/10/2004,70,2,7
Ezza - Korri,1/22/2021,3/30/2021,67,2,22
Deebam - Deewell,7/1/2005,9/1/2005,62,2,1
"Black Axe, Bush Boys, Deebam, KK, NDV - Outlaws",7/1/2007,8/31/2007,61,2,69
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/13/2010,10/13/2010,61,3,0
Nigeria: Government,8/13/2010,10/13/2010,61,1,3
Ijaw - Itsekiri,5/1/1999,6/30/1999,60,2,0
Supporters of ANPP - Supporters of PDP,3/1/2003,4/30/2003,60,2,1
Black Axe - Eyie,2/1/2014,3/31/2014,58,2,1
Deebam - Deewell,7/1/2007,8/14/2007,44,2,1
FNDIC - Civilians,3/18/2003,4/30/2003,43,3,24
Fulani - Kadara,4/24/2020,6/3/2020,40,2,35
Government of Nigeria - Civilians,5/22/1994,6/30/1994,39,3,24
Christians (Nigeria) - Muslims (Nigeria),4/1/2004,5/10/2004,39,2,0
Nigeria: Government,8/1/2017,9/5/2017,35,1,3
Black Axe - Eyie,1/13/2019,2/16/2019,34,2,7
Fulani - Irigwe,8/3/2017,9/5/2017,33,2,1
Nigeria: Government,1/1/2017,2/2/2017,32,1,4
Government of Nigeria - Civilians,7/1/1998,7/31/1998,30,3,0
Government of Nigeria - Civilians,1/1/2004,1/31/2004,30,3,1
Bakassi boys - Civilians,1/1/2001,1/31/2001,30,3,13
Government of Nigeria - Civilians,8/1/2007,8/31/2007,30,3,1
Government of Nigeria - Civilians,5/21/2019,6/20/2019,30,3,0
Black Axe - Eyie,8/1/2014,8/31/2014,30,2,1
Black Axe - Eyie,1/1/2019,1/31/2019,30,2,16
Black Axe - Maphite,3/1/2009,3/31/2009,30,2,15
"Birom - Fulani, Hausa",1/1/2002,1/31/2002,30,2,21
Deebam - Deewell,7/1/2005,7/31/2005,30,2,1
Deebam - Deewell,1/1/2015,1/31/2015,30,2,3
Greenlanders - NDV,7/12/2012,8/11/2012,30,2,20
Greenlanders - NDV,7/12/2012,8/11/2012,30,2,15
Nigeria: Islamic State,7/1/2017,7/31/2017,30,1,2
Atakar - Fulani,3/1/2020,3/31/2020,30,2,3
Ikpanya (Ibibio) - Efik,5/1/2012,5/31/2012,30,2,41
Fulani - Jukun,5/1/2019,5/31/2019,30,2,0
Fulani - Jukun,5/1/2019,5/31/2019,30,2,0
Nigeria: Islamic State,10/1/2015,10/31/2015,30,1,4
Ogoni - Okrika (Ijaw),12/1/2014,12/31/2014,30,2,3
Aguleri - Umuleri,7/1/1999,7/31/1999,30,2,323
Fulani - Tarok,10/1/2017,10/31/2017,30,2,1
Adoni - Ogoni,8/1/1993,8/31/1993,30,2,2
Jukun - Tiv,10/1/1991,10/31/1991,30,2,30
Birom - Fulani,5/1/2012,5/31/2012,30,2,3
Birom - Fulani,5/1/2012,5/31/2012,30,2,4
Birom - Fulani,10/1/2017,10/31/2017,30,2,0
Birom - Fulani,10/1/2017,10/31/2017,30,2,1
Supporters of ANPP - Supporters of PDP,10/1/1998,10/31/1998,30,2,14
