state,town,latitude,longitude,total_fatalities
Bayelsa state,Odi village,5.17381,6.29974,2479
Plateau state,Jos town,9.916667,8.9,1547
Borno state,Maiduguri town,11.84644,13.160274,1005
Rivers state,Rivers state,4.75,6.833333,991
Kano state,Kano town,11.994354,8.513807,937
Borno state,Gwoza town,11.103593,13.712982,812
Plateau state,Yelwa village,8.833333,9.633333,738
Borno state,Sambisa forest,11.25,13.416667,658
Borno state,Maidugiri town (Giwa barracks and other neighbourhoods),11.84644,13.160274,649
Benue state,Benue state,7.333333,8.75,481
Kaduna state,Kaduna town,10.52224,7.43828,460
Yobe state,Damaturu town,11.747,11.9608,425
Borno state,Konduga town,11.65583,13.42133,406
Borno state,Gamboru-Ngala,12.37066,14.21731,377
Borno state,Maiduguri (around),11.84644,13.160274,354
Delta state,Warri area,5.5167,5.75,332
Anambra state,Otuocha village,6.338343,6.846102,323
Adamawa state,Madagali town,10.88942,13.62832,302
Borno state,between Malam Fatori and Kangarwa,13.43162,13.31319,300
Rivers state,Port Harcourt town,4.777423,7.013404,277
Borno state,Gamboru town,12.37066,14.21731,261
Borno state,Rann town,12.28295,14.47243,251
Adamawa state,Bazza town,10.56617,13.31976,234
Borno state,Dikwa town,12.03609,13.91815,232
Benue state,Jato-Aka town,6.8898,9.505612,224
Borno state,Bama town,11.5221,13.68558,218
Borno state,Damboa town,11.15604,12.75758,216
Borno state,near Garambu,12.37066,14.21731,208
Borno state,"Duguri (Kukawa LGA, close to Baga), a fishing town on an island in Lake Chad",13.27368,13.803,201
Borno state,Gamboro-Ngala town,12.37066,14.21731,200
Borno state,Garin Maloma area in Sambisa Forest,11.25,13.416667,200
Bauchi state,Bauchi town,10.313441,9.843273,200
Taraba state,"Jalingo town, Taraba State",8.883333,11.366667,200
Nasarawa state,Obi LGA (Tudun Adabu village),8.366667,8.766667,200
Adamawa state,Vimtim town,10.343242,13.321153,185
Borno state,"Baga village, Kukawa LGA, Borno state",13.09466,13.82343,183
Borno state,Damasak town,13.09771,12.4952,180
Plateau state,Kuru Karama town,9.716667,8.85,178
Osun state,Ife town,7.466667,4.566667,177
Benue state,Kwande LGA (Unongo village),6.80099,9.47021,177
Borno state,"Alagarno area of Borno State (HumAngle)  Konduga (security forces)  Goniri (ISWAP & Tomasz Rolbiecki)  Gorgi, heading for Goniri",11.37327,12.43266,170
Borno state,"Kasiya forest (70 kilometres northeast of Maiduguri), northeastern Borno state",12.50884,13.10414,166
Kaduna state,Zaria town,11.082083,7.716097,166
